comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Отрицательное
"спасибо за оперативность, ключи получила.",1,0,0,0,0,0
Замечательный мастер ,0,0,1,0,0,0
"профессионально, быстро. очень приятный мастер",0,0,1,0,0,0
ждём морозной погоды что бы замерить тепловизором температуру на стене.,0,0,0,0,0,0
супер!,0,0,0,0,1,0
благодарю за быстрый ответ,1,0,0,0,1,0
спасибо электрику,0,0,0,0,0,0
спасибо всё бистро устранили ,0,0,0,0,1,0
Спасибо,0,0,0,1,1,0
Супер!!!,0,0,0,0,1,0
Спасибо большое!,0,0,0,1,1,0
спасибо большое за разъяснения и за оперативность,1,0,0,0,0,0
проблема не устранена! запах от тех. шкафа остался. сейчас ещё сильнее стало вонять,0,0,0,0,0,0
быстро среагировали! спасибо,1,0,0,0,0,0
вчера мне сказали несколько диспетчеров что заявки не было о протечке с моего жк,0,0,0,0,0,1
"прекрасный специалист, спасибо!",0,0,0,0,0,0
"все супер ,спасибо -))))",0,0,0,0,1,0
"по состоянию на 18:12, 28.01 оба лифта работают, спасибо !!!!!!!!!!",0,0,0,0,0,0
Хороший мастер,0,0,1,0,0,0
Все было сделано быстро и качественно.,0,0,0,0,0,0
"ольга, когда парковку достроят?",0,0,0,0,0,0
все быстро сделали,1,0,0,0,0,0
Большое спасибо Василию за проделанную работу!,0,0,0,0,0,0
все ок,0,0,0,0,1,0
спасибо,0,0,0,1,1,0
Быстро и четко!!!,1,0,0,0,0,0
"работа выполнена быстро, проблема решена",0,0,0,0,0,0
Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,0,0,0,0,0,0
спасибо,0,0,0,1,1,0
спасибо большое,0,0,0,1,1,0
сантехник андрей качественно выполнил свою работу.,0,0,1,0,0,0
Супер! Спасибо большое!,0,0,0,1,1,0
